train,train,id08108,RCODGWdfzdY/00197,0,train,id07077,oi72_HHDWY4/00288,0.8976636599379368,4.096
train,train,id08249,dsn2lLxlZbk/00252,0,train,id00699,QI28fRb0If0/00210,7.835460015641594,4.416
train,train,id09016,6I_lLzwgvkM/00070,0,train,id06010,GkwcLm1pMQ8/00174,-0.4466976535730023,6.4
train,train,id06017,Tso_NGmFodE/00213,0,train,id00015,AD2Mmf774IU/00084,-2.1443040779834055,6.464
train,train,id04526,kFbC8t3SIds/00365,0,train,id02179,gIyBv3aZC78/00284,-3.2520767916546323,4.16
train,train,id07955,Ya2nUm6UqLM/00192,0,train,id08592,Od80WxqSctQ/00243,-2.63516920318904,4.224
train,train,id05480,sU4FrcJR3mA/00361,0,train,id06645,7G_MrWzxs2M/00043,-7.192984391747097,4.8
train,train,id00979,J_LmhJbnBRY/00080,0,train,id07447,eAMd_xF3Byg/00275,5.983171284334471,4.608
train,train,id06496,CyccYJatl0I/00152,0,train,id08457,O2S_2_m6Vz4/00216,5.610583525729108,4.864
train,train,id01355,k3ynNwSHvns/00316,0,train,id03918,Bp-3c4Byhuc/00124,2.798420426550477,4.736
train,train,id07970,nJ-UVuO9Qwg/00393,0,train,id04015,QG_Do5-Djc8/00238,-0.5279916130668525,5.12
train,train,id05010,cIiE2vuaT_I/00265,0,train,id06843,RhNn36zXXt0/00175,4.738363542579162,4.736
train,train,id04219,8fC_ZCcv1i8/00090,0,train,id07293,lVVi9w5Lb24/00229,-7.006502656326337,4.096
train,train,id01264,rULjamb553Y/00338,0,train,id07744,bAQ2XjGzZtg/00366,-2.2702203774827616,8.192
train,train,id02455,U35cj9SOmSA/00239,0,train,id08249,dsn2lLxlZbk/00263,3.9526239185452976,6.528
train,train,id07741,BIKbHajqElw/00109,0,train,id06702,sGuruYpQOhY/00436,3.062800715958753,6.208
train,train,id07108,DJU3eYgezyQ/00055,0,train,id02102,NRUXgEVnG6Q/00214,-3.499055419832951,4.672
train,train,id07136,84dhZ7L2paw/00093,0,train,id08745,hmQrj7eorH0/00400,2.6854811591467005,4.608
train,train,id03824,VZxqNB9rGrQ/00279,0,train,id01457,EB2iCfYHT3c/00042,-5.822464878103306,7.68
train,train,id08834,CYWH3wMmR4k/00123,0,train,id07613,JS9nah3cpU8/00109,1.6370065887706868,4.224
